"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","RaspberryPi_Pico","","","","Module:RaspberryPi_Pico_SMD","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf"
"C1,C2","2","1u","","","","Capacitor_SMD:C_1206_3216Metric",""
"C3,C11,C14,C29","4","4u7","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4,C6,C7,C8,C12","5","1u","","","","Capacitor_SMD:C_0603_1608Metric",""
"C5,C10,C13,C17,C18,C21,C22,C26,C28","9","100n","","","","Capacitor_SMD:C_0402_1005Metric",""
"C9,C15","2","100n","","","","Package_LGA:LGA-12_2x2mm_P0.5mm",""
"C16,C19,C23,C24","4","10n","","","","Capacitor_SMD:C_0402_1005Metric",""
"C20","1","1u","","","","Package_LGA:LGA-12_2x2mm_P0.5mm",""
"C25","1","22u","","","","Capacitor_SMD:C_1210_3225Metric",""
"C31,C32","2","100p","","","","Capacitor_SMD:C_0402_1005Metric",""
"D1","1","BAT54","","","","Package_TO_SOT_SMD:SOT-23-3",""
"D2,D4","2","BAT54S","","","","Package_TO_SOT_SMD:SOT-23-3","https://www.diodes.com/assets/Datasheets/ds11005.pdf"
"D14","1","ESD601DPYR","","","","Package_SON:Texas_DPY0002A_0.6x1mm_P0.65mm",""
"J1","1","SiPM Conn","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"J2","1","SiPM Conn","","","","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical_SMD",""
"J3","1","Battery","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"L1","1","47u","","","","Inductor_SMD:L_Changjiang_FXL0630",""
"L2","1","2u2","","","","Inductor_SMD:L_Changjiang_FXL0630",""
"Q1","1","2N7002","","","","Package_TO_SOT_SMD:SOT-23-3","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"Q2","1","DMP2305U","","","","Package_TO_SOT_SMD:SOT-23-3","https://www.diodes.com/assets/Datasheets/DMP3099L.pdf"
"R1","1","220k","","","","Resistor_SMD:R_0402_1005Metric",""
"R2,R13,R27,R30","4","10k","","","","Resistor_SMD:R_0402_1005Metric",""
"R3,R4,R20","3","100","","","","Resistor_SMD:R_0402_1005Metric",""
"R5,R9,R15,R17,R18,R21,R24","7","1k","","","","Resistor_SMD:R_0402_1005Metric",""
"R6,R10,R23","3","100k","","","","Resistor_SMD:R_0402_1005Metric",""
"R12,R33","2","6k8","","","","Resistor_SMD:R_0402_1005Metric",""
"R16","1","2k2","","","","Resistor_SMD:R_0402_1005Metric",""
"R19","1","10","","","","Resistor_SMD:R_0402_1005Metric",""
"R22","1","0","","","","Resistor_SMD:R_0402_1005Metric",""
"R25","1","22k","","","","Resistor_SMD:R_0402_1005Metric",""
"R26,R28","2","4k7","","","","Resistor_SMD:R_0402_1005Metric",""
"R29","1","33k","","","","Resistor_SMD:R_0402_1005Metric",""
"R34","1","470","","","","Resistor_SMD:R_0402_1005Metric",""
"TP1","1","SiPM RAW","","","","TestPoint:TestPoint_Pad_D2.5mm",""
"TP2","1","GND","","","","TestPoint:TestPoint_Pad_D2.5mm",""
"TP4","1","Vref","","","","TestPoint:TestPoint_Pad_D2.5mm",""
"TP5","1","Signal","","","","TestPoint:TestPoint_Pad_D2.5mm",""
"TP7","1","Trigger","","","","TestPoint:TestPoint_Pad_D2.5mm",""
"TP8","1","+30V","","","","TestPoint:TestPoint_Pad_D2.5mm",""
"TP9","1","SiPM Clamped + Biased","","","","TestPoint:TestPoint_Pad_D2.5mm",""
"TP10","1","Amplifier","","","","TestPoint:TestPoint_Pad_D2.5mm",""
"TP11","1","Peak","","","","TestPoint:TestPoint_Pad_D2.5mm",""
"TP12","1","+3V3","","","","TestPoint:TestPoint_Pad_D2.5mm",""
"U1","1","MAX5026EUT+T","","","","Package_TO_SOT_SMD:SOT-23-6","MAX5026EUT+T"
"U2","1","LM4040DBZ-2.5","","","","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf"
"U3","1","TF Push","","","","BalloonLibrary:TF PUSH",""
"U4,U5","2","TPH2502-SR","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","TPH2502-SR"
"U6","1","SiPM","","","","BalloonLibrary:XDCR_MICROFC-60035-SMT-TR1",""
"U7","1","BMP384","","","","BalloonLibrary:LGA10_2.0X2.0X0.95_BOS",""
"U8","1","TPS563201DDCT","","","","Package_TO_SOT_SMD:TSOT-23-6",""
"U9","1","LIS3MDL","","","","Package_LGA:LGA-12_2x2mm_P0.5mm","https://www.st.com/resource/en/datasheet/lis3mdl.pdf"
