Reference,Qty,Value
A1,1,RaspberryPi_Pico
"C1,C3,C16",3,47n
C2,1,4u7
"C4,C12,C19,C21,C30,C31,C42,C43,C44",9,100n
"C5,C6,C7,C8,C9,C13,C14,C15,C22,C23,C24,C25",12,10u
"C17,C36,C37,C38",4,1n
"C18,C32",2,0.1u
C20,1,2u2
"C28,C35",2,100n
C29,1,4u7
"C39,C40,C41",3,100p
"D1,D6,D7",3,LED_Small
"D3,D4",2,Zener
D22,1,SMAJ4.0A
"IC4,IC5,IC6",3,CC6905S8-3FU050
J1,1,+3V3
J2,1,INT_P1
J3,1,Panel1
J4,1,Panel2
J5,1,Micro_SD_Card
J6,1,INT_P2
L1,1,1u
"Q1,Q2,Q3,Q4",4,NTTFS4C25NTWG
Q5,1,DMP2305U
R1,1,2k2
R2,1,127k
R3,1,100k
R4,1,6k04
R5,1,5k24
R6,1,30k31
R7,1,2
"R8,R17,R18,R19",4,100
"R9,R10",2,294
"R11,R13,R14,R15",4,4K7
"R12,TH1",2,10k
R16,1,10k
TP1,1,PANEL1+
TP2,1,PANEL1-
TP3,1,PANEL2+
TP4,1,PANEL2-
TP5,1,BQ_OUT
TP6,1,GND
TP7,1,+3V3
TP8,1,ADC0
"TP9,TP10,TP11",3,ADC1
"U1,U3",2,BQ25798
U2,1,BMP388
U4,1,ADS1015IDGS
